DENOM_CIA,cnpj,SETOR_ATIV,DT_REFER,total_assets,equity,net_revenue,net_income,ebit,current_ratio,debt_to_equity,gross_margin,net_margin,roe,roa,altman_zscore,altman_zone,default_flag
ENJOEI S.A.,16922038000151,Comércio (Atacado e Varejo),2024-12-31,422174000.0,320453000.0,265221000.0,-23935000.0,-34558000.0,3.4934994344140677,0.0,0.5601102476802364,-0.0902454933809917,-0.07469114035443575,-0.05669463301861318,5.395195208246426,SAFE,0
CIA ENERGETICA DE MINAS GERAIS - CEMIG,17155730000164,Energia Elétrica,2024-12-31,59726836000.0,27383079000.0,39819620000.0,7119287000.0,9877932000.0,0.8647496134543887,0.4484265629880409,0.20482053821708995,0.17878842138624126,0.2599885498632203,0.11919745757166846,1.790498804979722,GREY,0
BANCO NACIONAL S.A.,17157777000167,Bancos,2024-12-31,15041997000.0,0.0,899029000.0,,746635000.0,,,1.0,,,,0.33831482349052455,DISTRESS,0
FIACAO E TECELAGEM SAO JOSE SA EM RECUPERACAO JUDICIAL,17159005000164,Têxtil e Vestuário,2024-12-31,3075000.0,-185419000.0,1344000.0,-9872000.0,-548000.0,0.012793188930890981,-0.13425808574094347,0.9084821428571429,-7.345238095238095,0.053241577184646664,-3.2104065040650407,-377.7333846286971,DISTRESS,1
BCO MERCANTIL DO BRASIL S.A.,17184037000110,Bancos,2024-12-31,25479109000.0,299303000.0,5913694000.0,510618000.0,575525000.0,,59.00077847532434,0.5290711693909086,0.08634501548439943,1.7060236616405449,0.020040653697898148,1.1773604508208322,GREY,0
CIA FIACAO TECIDOS CEDRO CACHOEIRA,17245234000100,Têxtil e Vestuário,2024-12-31,944074000.0,310597000.0,1036777000.0,110590000.0,165244000.0,1.2353242652184846,1.2236628170909571,0.29629515315251015,0.10666710391916487,0.35605624007958864,0.11714124104678235,2.2101662219580063,GREY,0
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,17281106000103,"Saneamento, Serv. Água e Gás",2024-12-31,15511789000.0,8048229000.0,7878006000.0,1316920000.0,1994541000.0,1.4382071023104204,0.7595669805121101,0.4282353935754809,0.16716412757238316,0.16362854486372094,0.0848980088628075,2.306403269504298,GREY,0
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,17314329000120,Alimentos,2024-12-31,2796869000.0,1041298000.0,2224984000.0,-76278000.0,30217000.0,0.7774728441871189,0.5560569596791697,0.3281174156757981,-0.03428249371680875,-0.07325280563296963,-0.027272639512254598,0.36942805301795,DISTRESS,0
BB SEGURIDADE PARTICIPAÇÕES S.A.,17344597000194,Emp. Adm. Part. - Seguradoras e Corretoras,2024-12-31,21615587000.0,9695421000.0,0.0,8703353000.0,4695854000.0,1.1966471141658908,0.3756703293235023,,,0.897676645501005,0.4026424542622877,2.8079290171903004,SAFE,0
TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S.A.,17359233000188,Comércio (Atacado e Varejo),2024-12-31,2920928000.0,451852000.0,5014989000.0,267102000.0,412914000.0,2.817157059504488,1.7283314005470818,0.22866570594671295,0.053260734968710796,0.5911271832369891,0.0914442259446313,3.953015587231223,SAFE,0
GRUPO SALTA EDUCAÇÃO S.A.,17765891000170,Emp. Adm. Part. - Educação,2024-12-31,4282186000.0,1173821000.0,2204231000.0,76384000.0,335935000.0,1.1420029068344657,1.3039637218962687,0.48871375096348796,0.03465335529715352,0.06507295405347152,0.01783761845001595,1.1273372883982364,GREY,0
